hourglass figure;female
pear-shaped figure;female
fit;both
thin;both
slender;both
skinny;both
small;both
petite;female
tiny;both
slim;both
slight;both
light-weight;both
flyweight;both
short;both
tall;both
very tall, long legs;female
busty;female
busty petite;female
ripped;male
elegant;female
